uf_abbr;municipality;direto;url_pagina;SIG_link
RJ;Duas Barras;1;https://gd.sgb.gov.br/suscetibilidade/duas_barras/sig_duas_barras_rj_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/duas_barras/sig_duas_barras_rj_suscet.zip
MG;Ervália;1;https://gd.sgb.gov.br/suscetibilidade/ervalia/sig_ervalia_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/ervalia/sig_ervalia_mg_suscet.zip
SP;Espírito Santo do Pinhal;1;https://gd.sgb.gov.br/suscetibilidade/espirito_santo_do_pinhal/sig_espirito_santo_do_pinhal_sp_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/espirito_santo_do_pinhal/sig_espirito_santo_do_pinhal_sp_suscet.zip
MG;Ewbank da Câmara;1;https://gd.sgb.gov.br/suscetibilidade/ewbank_da_camara/sig_ewbank_da_camara_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/ewbank_da_camara/sig_ewbank_da_camara_mg_suscet.zip
SC;Flor do Sertão;1;https://gd.sgb.gov.br/suscetibilidade/flor_do_sertao/sig_flor_do_sertao_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/flor_do_sertao/sig_flor_do_sertao_sc_suscet.zip
SC;Forquilhinha;1;https://gd.sgb.gov.br/suscetibilidade/forquilhinha/sig_forquilhinha_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/forquilhinha/sig_forquilhinha_sc_suscet.zip
MG;Frei Inocêncio;1;https://gd.sgb.gov.br/suscetibilidade/frei_inocencio/sig_frei_inocencio_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/frei_inocencio/sig_frei_inocencio_mg_suscet.zip
SC;Frei Rogério;1;https://gd.sgb.gov.br/suscetibilidade/frei_rogerio/sig_frei_rogerio_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/frei_rogerio/sig_frei_rogerio_sc_suscet.zip
SC;Gaspar;1;https://gd.sgb.gov.br/suscetibilidade/gaspar/sig_gaspar_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/gaspar/sig_gaspar_sc_suscet.zip
MG;Governador Valadares;1;https://gd.sgb.gov.br/suscetibilidade/governador_valadares/sig_governador_valadares_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/governador_valadares/sig_governador_valadares_mg_suscet.zip
MG;Ibirité;1;https://gd.sgb.gov.br/suscetibilidade/ibirite/sig_ibirite_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/ibirite/sig_ibirite_mg_suscet.zip
SC;Irineópolis;1;https://gd.sgb.gov.br/suscetibilidade/irineopolis/sig_irineopolis_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/irineopolis/sig_irineopolis_sc_suscet.zip
SC;Itapema;1;https://gd.sgb.gov.br/suscetibilidade/itapema/sig_itapema_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/itapema/sig_itapema_sc_suscet.zip
SP;Itatiba;1;https://gd.sgb.gov.br/suscetibilidade/itatiba/sig_itatiba_sp_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/itatiba/sig_itatiba_sp_suscet.zip
SC;Jacinto Machado;1;https://gd.sgb.gov.br/suscetibilidade/jacinto_machado/sig_jacinto_machado_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/jacinto_machado/sig_jacinto_machado_sc_suscet.zip
MG;Januária;1;https://gd.sgb.gov.br/suscetibilidade/januaria/sig_januaria_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/januaria/sig_januaria_mg_suscet.zip
MG;João Monlevade;1;https://gd.sgb.gov.br/suscetibilidade/joao_monlevade/sig_joao_monlevade_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/joao_monlevade/sig_joao_monlevade_mg_suscet.zip
SC;Joinville;1;https://gd.sgb.gov.br/suscetibilidade/joinville/sig_joinville_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/joinville/sig_joinville_sc_suscet.zip
SC;José Boiteux;1;https://gd.sgb.gov.br/suscetibilidade/jose_boiteux/sig_jose_boiteux_sc_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/jose_boiteux/sig_jose_boiteux_sc_suscet.zip
MG;Juiz de Fora;1;https://gd.sgb.gov.br/suscetibilidade/juiz_de_fora/sig_juiz_de_fora_mg_suscet.zip;https://gd.sgb.gov.br/suscetibilidade/juiz_de_fora/sig_juiz_de_fora_mg_suscet.zip
