,Municipality
351,Pirapozinho
352,Pirassununga
353,Piratininga
354,Pitangueiras
355,Planalto
356,Platina
357,Poá
358,Poloni
359,Pompéia
360,Pongaí
361,Pontal
362,Pontalinda
363,Pontes Gestal
364,Populina
365,Porangaba
366,Porto Feliz
367,Porto Ferreira
368,Potim
369,Potirendaba
370,Pracinha
371,Pradópolis
372,Praia Grande
373,Pratânia
374,Presidente Alves
375,Presidente Bernardes
376,Presidente Epitácio
377,Presidente Venceslau
378,Promissão
379,Quadra
380,Quatá
381,Queiroz
382,Queluz
383,Quintana
384,Rafard
385,Rancharia
386,Reginópolis
387,Registro
388,Restinga
389,Ribeira
390,Ribeirão Bonito
391,Ribeirão Branco
392,Ribeirão Corrente
393,Ribeirão do Sul
394,Ribeirão dos Índios
395,Ribeirão Grande
396,Ribeirão Pires
397,Riversul
398,Rifaina
399,Rincão
400,Rinópolis
401,Rio das Pedras
402,Rio Grande da Serra
403,Riolândia
404,Rosana
405,Roseira
406,Rubiácea
407,Rubinéia
408,Sabino
409,Sagres
410,Sales
411,Sales Oliveira
412,Salesópolis
413,Salmourão
414,Saltinho
415,Salto
416,Salto de Pirapora
417,Salto Grande
418,Sandovalina
419,Santa Adélia
420,Santa Albertina
421,Santa Bárbara d'Oeste
422,Santa Branca
423,Santa Clara d'Oeste
424,Santa Cruz das Palmeiras
425,Santa Cruz do Rio Pardo
426,Santa Gertrudes
427,Santo André
428,Santa Cruz da Conceição
429,Santa Cruz da Esperança
430,Santa Ernestina
431,Santa Fé do Sul
432,Santa Isabel
433,Santa Lucia
434,Santa Maria da Serra
435,Santa Mercedes
436,Santana da Ponte Pensa
437,Santana de Parnaíba
438,Santa Rita d'Oeste
439,Santa Rita do Passa Quatro
440,Santa Rosa do Viterbo
441,Santa Salete
442,Santo Anastácio
443,Santo Antonio da Alegria
444,Santo Antonio de Posse
445,Santo Antonio do Aracanguá
446,Santo Antonio do Jardim
447,Santo Antonio do Pinhal
448,Santo Expedito
449,Santópolis do Aguapeí
450,Santos
451,São Bernardo do Campo
